net,from_device,from_terminal,to_device,to_terminal,voltage_domain,logic,wire_color,wire_size,shield,fuse,status,notes
X_STEP,MESA7I95T,TB3-2 STEP0-,DRIVE_X,PUL-,5V,common-anode active pulse,,,,,legacy-derived,"Leave TB3-3 STEP0+ open"
X_DIR,MESA7I95T,TB3-4 DIR0-,DRIVE_X,DIR-,5V,common-anode,,,,,legacy-derived,"Leave TB3-5 DIR0+ open"
X_STEP_DIR_COMMON,MESA7I95T,TB3-6 +5VP,DRIVE_X,PUL+ and DIR+,5V,common-anode,,,,PTC on Mesa,legacy-derived,"Verify drive terminals and branch at drive"
Y_STEP,MESA7I95T,TB3-8 STEP1-,DRIVE_Y,PUL-,5V,common-anode active pulse,,,,,legacy-derived,"Leave TB3-9 STEP1+ open"
Y_DIR,MESA7I95T,TB3-10 DIR1-,DRIVE_Y,DIR-,5V,common-anode,,,,,legacy-derived,"Leave TB3-11 DIR1+ open"
Y_STEP_DIR_COMMON,MESA7I95T,TB3-12 +5VP,DRIVE_Y,PUL+ and DIR+,5V,common-anode,,,,PTC on Mesa,legacy-derived,"Verify drive terminals and branch at drive"
Z_STEP,MESA7I95T,TB3-14 STEP2-,DRIVE_Z,PUL-,5V,common-anode active pulse,,,,,legacy-derived,"Leave TB3-15 STEP2+ open"
Z_DIR,MESA7I95T,TB3-16 DIR2-,DRIVE_Z,DIR-,5V,common-anode,,,,,legacy-derived,"Leave TB3-17 DIR2+ open"
Z_STEP_DIR_COMMON,MESA7I95T,TB3-18 +5VP,DRIVE_Z,PUL+ and DIR+,5V,common-anode,,,,PTC on Mesa,legacy-derived,"Verify drive terminals and branch at drive"
X_LIMIT_MIN,SENSOR_X_MIN,OUTPUT,MESA7I95T,TB6-1 INPUT0,field input,NPN NC,,,,field supply fuse,legacy-derived,"TB6-3 INCOM0/1 to sensor positive"
X_HOME_DEDICATED,SENSOR_X_HOME,OUTPUT,MESA7I95T,TB6-2 INPUT1,field input,NPN NC,,,,field supply fuse,legacy-derived,"Wired for diagnostics; not active home source"
X_LIMIT_MAX,SENSOR_X_MAX,OUTPUT,MESA7I95T,TB6-4 INPUT2,field input,NPN NC,,,,field supply fuse,legacy-derived,"TB6-6 INCOM2/3 to sensor positive"
TB6_INPUT3_SPARE,,,MESA7I95T,TB6-5 INPUT3,field input,,,,,,reserved,"Shares TB6-6 common"
Y_LIMIT_MIN,SENSOR_Y_MIN,OUTPUT,MESA7I95T,TB6-7 INPUT4,field input,NPN NC,,,,field supply fuse,legacy-derived,"TB6-9 INCOM4/5 to sensor positive"
Y_HOME_DEDICATED,SENSOR_Y_HOME,OUTPUT,MESA7I95T,TB6-8 INPUT5,field input,NPN NC,,,,field supply fuse,legacy-derived,"Wired for diagnostics; not active home source"
Y_LIMIT_MAX,SENSOR_Y_MAX,OUTPUT,MESA7I95T,TB6-10 INPUT6,field input,NPN NC,,,,field supply fuse,legacy-derived,"TB6-12 INCOM6/7 to sensor positive"
TB6_INPUT7_SPARE,,,MESA7I95T,TB6-11 INPUT7,field input,,,,,,reserved,"Shares TB6-12 common"
Z_LIMIT_MIN,SENSOR_Z_MIN,OUTPUT,MESA7I95T,TB6-13 INPUT8,field input,NPN NC,,,,field supply fuse,legacy-derived,"TB6-15 INCOM8/9 to sensor positive"
Z_LIMIT_MAX_HOME,SENSOR_Z_MAX,OUTPUT,MESA7I95T,TB6-14 INPUT9,field input,NPN NC,,,,field supply fuse,legacy-derived,"Z+ is also the active home switch"
PROBE_ACTIVE,LEGACY_Z_PROBE,SWITCH,MESA7I95T,TB6-16 INPUT10,field input,positive switched input,,,,field supply fuse,legacy-derived,"TB6-18 INCOM10/11 to field 0V; verify voltage/polarity"
TB6_INPUT11_SPARE,,,MESA7I95T,TB6-17 INPUT11,field input,,,,,,reserved,"Shares TB6-18 common"
ESTOP_OK,HARD_ESTOP_CHAIN,STATUS,MESA7I95T,TB6-19 INPUT12,field input,closed/healthy sources positive,,,,safety control fuse,legacy-derived,"TB6-21 INCOM12/13 to field 0V; monitoring is not safety function"
TB6_INPUT13_SPARE,,,MESA7I95T,TB6-20 INPUT13,field input,,,,,,reserved,"Shares TB6-21 common"
TB6_INPUT14_SPARE,,,MESA7I95T,TB6-22 INPUT14,field input,,,,,,reserved,"TB6-24 INCOM14/15 allocated only after use is known"
TB6_INPUT15_SPARE,,,MESA7I95T,TB6-23 INPUT15,field input,,,,,,reserved,"TB6-24 INCOM14/15 allocated only after use is known"
X_DRIVE_ALARM,DRIVE_X,ALM+,MESA7I95T,TB5-1 INPUT16,field input,open collector fault,,,,field supply fuse,to-verify,"AM882 ALM- to field 0V; TB5-3 INCOM16/17 to field positive"
Y_DRIVE_ALARM,DRIVE_Y,ALM+,MESA7I95T,TB5-2 INPUT17,field input,open collector fault,,,,field supply fuse,to-verify,"AM882 ALM- to field 0V; shares TB5-3 common"
Z_DRIVE_ALARM,DRIVE_Z,ALM+,MESA7I95T,TB5-4 INPUT18,field input,open collector fault,,,,field supply fuse,to-verify,"AM882 ALM- to field 0V; TB5-6 INCOM18/19 to field positive"
TB5_INPUT19_SPARE,,,MESA7I95T,TB5-5 INPUT19,field input,,,,,,reserved,"Shares TB5-6 common"
TB5_INPUT20_SPARE,,,MESA7I95T,TB5-7 INPUT20,field input,,,,,,reserved,"TB5-9 INCOM20/21 unallocated"
TB5_INPUT21_SPARE,,,MESA7I95T,TB5-8 INPUT21,field input,,,,,,reserved,"TB5-9 INCOM20/21 unallocated"
TB5_INPUT22_SPARE,,,MESA7I95T,TB5-10 INPUT22,field input,,,,,,reserved,"TB5-12 INCOM22/23 unallocated"
TB5_INPUT23_SPARE,,,MESA7I95T,TB5-11 INPUT23,field input,,,,,,reserved,"TB5-12 INCOM22/23 unallocated"
VFD_RS485_A,USB_RS485,A,HUANYANG_VFD,RS-,RS-485,differential,,,,,legacy-derived,"Verify terminal marking/polarity before power"
VFD_RS485_B,USB_RS485,B,HUANYANG_VFD,RS+,RS-485,differential,,,,,legacy-derived,"Existing adapter is not galvanically isolated"
UNKNOWN_A1_A2,,,,,,,,,,,unidentified,"Keep insulated; trace both ends with all power removed"
UNKNOWN_B1_B2,,,,,,,,,,,unidentified,"Keep insulated; trace both ends with all power removed"
UNKNOWN_C1_C2,,,,,,,,,,,unidentified,"Keep insulated; trace both ends with all power removed"
